KIDEN;Altstation;Altsommetdespistes;Kmpistesalpin;Nbvertes;Nbbleues;Nbrouges;Nbnoires;tlpheriques;tlcabines;tlsieges;tlskis;Pxalpin;Kmpistesfond;PXfond;Nblits;bassesaison;hautesaison;Prixappartementbassesaison;Prixappartementhautesaison;Neigeartificielle;SkiFrance;Liaisonsautresstations;Tranchesprixsemaine;Rapportqualite.prixforfait;Stationfamiliale.enfants;Domaineperformant;Grandski;Surf;Stationvillagenature;Grandsitenordique;Activitesnature;Manifestationsculturelles;Animation;Autoroute;sncf;aeroport;Massif;Departement
Bareges;1250;2350;65;10;11;10;1;0;1;4;18;110;17;30;4200;250;320;1300;2250;Pas neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Hautes Pyrenees (65)
Gavarnie-Gedre;1850;2400;40;7;5;5;2;0;0;3;8;75;8;0;2000;180;360;800;3500;Pas neige art.;pas Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Hautes Pyrenees (65)
LaMongie;1800;2500;60;13;10;9;2;1;1;6;25;110;0;0;12000;230;360;2000;4000;Neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station pas village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport proche;Pyrenees;Hautes Pyrenees (65)
Luz-Ardiden;1700;2450;50;4;10;15;4;0;0;6;13;94;5;0;5700;200;220;1050;1600;Neige art.;Ski-france;Pas liaison;Px <5000;Bon rapport q-p;pas familiale;D. performant;Pas grand ski;Surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport proche;Pyrenees;Hautes Pyrenees (65)
Cauterets;1850;2500;40;7;8;8;2;1;2;6;12;115;37;30;20000;215;245;2000;3400;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport proche;Pyrenees;Hautes Pyrenees (65)
GourettelesEauxBonnes;1400;2400;31;8;5;5;1;0;2;5;18;110;0;0;8000;280;330;1400;3600;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Pyrenees Atl. (64)
ArettePierreStMartin;1650;2200;23;6;8;6;1;0;0;5;11;98;5;20;3000;320;320;1480;2800;Pas neige art.;pas Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Pyrenees;Pyrenees Atl. (64)
SuperLioran;1250;1856;60;11;9;14;6;1;0;6;17;103;25;30;6700;220;260;1600;2900;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Massif Central;Cantal (15)
Laguiole;1300;1450;12;2;6;5;2;0;0;1;11;72;248;25;650;200;220;1500;2000;Neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf loin;aeroport proche;Massif Central;Cantal (15)
ChastreixSancy;1350;1750;13;3;4;2;1;0;0;0;7;72;16;30;1100;170;170;1800;2300;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Massif Central;Puy de Dªme (63)
