KIDEN;Altstation;Altsommetdespistes;Kmpistesalpin;Nbvertes;Nbbleues;Nbrouges;Nbnoires;tlpheriques;tlcabines;tlsieges;tlskis;Pxalpin;Kmpistesfond;PXfond;Nblits;bassesaison;hautesaison;Prixappartementbassesaison;Prixappartementhautesaison;Neigeartificielle;SkiFrance;Liaisonsautresstations;Tranchesprixsemaine;Rapportqualite.prixforfait;Stationfamiliale.enfants;Domaineperformant;Grandski;Surf;Stationvillagenature;Grandsitenordique;Activitesnature;Manifestationsculturelles;Animation;Autoroute;sncf;aeroport;Massif;Departement
LeColletdAllevard;1450;2100;35;2;6;7;3;0;0;3;10;94;3;0;3500;230;230;1200;2400;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
LesSeptLaux;1350;2400;120;10;18;18;4;0;0;8;27;115;60;30;8720;200;300;1600;3500;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
LAlpedHuez;1860;3350;220;36;28;25;11;5;9;23;44;200;50;36;32000;300;431;2800;4100;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf loin;aeroport loin;Alpes du Nord;Isere (38)
VillardReculas;1500;3330;20;2;3;4;1;0;0;2;6;67;0;0;500;265;290;2390;3170;Pas neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;pas familiale;D. performant;Grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
ColdOrnon;1300;2000;8;1;1;1;1;0;0;0;4;48;25;26;320;130;180;1100;1400;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
AurisenOisans;1600;3350;45;5;6;7;1;0;0;7;8;100;8;24;4500;230;265;1130;2510;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf loin;aeroport loin;Alpes du Nord;Isere (38)
Vaujany;1250;3330;50;5;7;4;1;2;2;3;4;132;40;36;1500;280;315;2000;3600;Neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
LAlpeduGrandSerre;1400;2200;50;5;13;13;3;0;0;5;15;102;20;26;2000;230;250;1260;2700;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
LesDeuxAlpes;1650;3600;200;22;25;21;8;3;4;24;30;178;20;0;30000;250;400;2000;4000;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf loin;aeroport loin;Alpes du Nord;Isere (38)
StPierredeChartreuse;900;1800;25;6;6;8;3;0;1;2;16;88;70;29;3800;198;240;1200;2150;Pas neige art.;Ski-france;Pas liaison;Px <5000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
LeSappey;1015;1650;12;4;2;3;1;0;0;1;12;50;100;29;750;220;220;1300;2100;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
StHilaireduTouvet;1000;1450;5;2;3;5;0;0;0;0;5;55;0;0;800;150;150;1500;2500;Neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
Autrans;1050;1650;18;8;2;4;1;0;0;1;15;73;160;34;8000;250;275;1800;3100;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Man. culturelle1;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Isere (38)
Meaudre;1012;1600;18;5;4;3;1;0;0;2;8;73;100;34;2500;240;270;1700;2600;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Isere (38)
VillarddeLans;1050;2170;130;5;11;10;11;0;2;6;23;124;160;34;24000;270;320;1650;4000;Neige art.;Ski-france;Pas liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Isere (38)
LansenVercors;1020;1983;24;8;10;6;0;0;0;0;15;73;67;34;7000;240;280;1450;2650;Pas neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Man. culturelle1;Pas animation;Autoroute proche;sncf proche;aeroport proche;Alpes du Nord;Isere (38)
GresseenVercors;1205;1800;20;8;4;7;1;0;0;2;14;80;70;30;4500;220;250;1400;2500;Neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Isere (38)
ColdeRousset;1250;1700;30;7;6;3;2;0;0;1;10;72;12;34;1300;170;190;1200;2600;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute proche;sncf proche;aeroport loin;Alpes du Nord;Drªme (26)
LaGrave-LaMeije;1450;3550;20;0;2;1;1;2;0;0;2;160;10;0;2500;180;420;1600;2500;Pas neige art.;pas Ski-france;Liaison;Px 5000-7000;Mauvais rapport q-p;pas familiale;D. pas performant;Grand ski;Surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf loin;aeroport loin;Alpes du Sud;Hautes Alpes (05)
SerreChevallier;1200;2800;250;21;20;55;13;3;6;16;47;167;45;30;30000;330;400;2300;4250;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
Briancon;1200;2800;25;3;5;7;1;0;2;1;2;112;100;30;5279;230;230;960;1800;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
Nevache;1600;1850;3;1;1;0;0;0;0;0;2;43;80;30;1000;240;320;1000;2000;Pas neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
PuySaintVincent;1500;2750;50;4;11;10;2;0;1;4;10;113;40;30;12000;230;265;1120;1440;Neige art.;Ski-france;Pas liaison;Px <5000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
Pelvoux-Vallouise;1250;2300;25;2;4;4;2;0;0;1;5;70;40;30;13000;205;265;1575;2300;Neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
StLegerlesMelezes;1260;2000;25;10;8;4;2;0;0;2;12;70;39;30;4200;245;245;1200;2300;Neige art.;pas Ski-france;Liaison;Px <5000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
Orcieres-Merlette;1850;2650;100;6;10;18;6;0;2;6;20;128;25;30;16000;265;280;1500;3000;Neige art.;Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
Ancelle;1350;1807;28;3;5;5;2;0;0;1;12;70;30;30;5600;210;310;1550;2700;Neige art.;pas Ski-france;Liaison;Px 5000-7000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Pas act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
Chaillol1600;1600;2000;13;6;5;4;0;0;0;2;8;70;53;30;2800;240;250;1000;1200;Neige art.;pas Ski-france;Pas liaison;Px <5000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
Superdevoluy;1500;2510;100;16;23;17;5;0;0;4;28;125;44;30;8500;275;320;1180;3080;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Pas grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Man. culturelle1;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
AbriesRistolas;1550;2450;30;1;3;7;1;0;0;1;4;91;40;30;2100;245;255;800;2000;Neige art.;pas Ski-france;Pas liaison;Px <5000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
AiguillesenQueyras;1450;2590;30;4;4;5;2;0;0;1;6;91;50;30;1000;185;230;1400;2400;Neige art.;pas Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;pas familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
CeillacenQueyras;1650;2500;22;4;1;6;1;0;0;1;5;91;50;30;2700;240;353;1368;2960;Pas neige art.;pas Ski-france;Pas liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
ArvieuxenQueyras;1650;2200;15;5;3;3;1;0;0;1;5;91;50;30;1500;236;262;1500;2600;Pas neige art.;pas Ski-france;Pas liaison;Px 5000-7000;Mauvais rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. pas grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
Vars;1850;2750;170;19;50;38;11;0;1;12;44;145;40;30;17000;220;320;2000;3500;Neige art.;Ski-france;Liaison;Px 7000-9000;Bon rapport q-p;familiale;D. performant;Grand ski;Surf;Station pas village;D. grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
Risoul1850;1850;2750;175;19;50;38;11;0;1;12;44;145;30;0;12700;280;360;1700;2900;Neige art.;Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. performant;Grand ski;Pas surf;Station pas village;D. pas grand fond;Act. nature;Pas man. culturelles;Animations;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
Molines;1750;2800;38;4;10;12;3;0;0;1;15;91;30;30;303;245;275;1400;2350;Pas neige art.;pas Ski-france;Liaison;Px 5000-7000;Bon rapport q-p;familiale;D. pas performant;Pas grand ski;Pas surf;Station village;D. grand fond;Act. nature;Pas man. culturelles;Pas animation;Autoroute loin;sncf proche;aeroport loin;Alpes du Sud;Hautes Alpes (05)
